id	name	type	min	max	description
416	Pallet Block and Tiers	N0	6	6	Code indicating pallet and load structure; first three digits indicate the number of cases per layer, last three digits indicate the number of layers per pallet
417	Price Bracket Identifier	AN	1	3	Identifier assigned by the vendor for a specific price bracket
418	Item List Cost - New	R	1	9	Unit price within the appropriate price bracket for a line item on or after an effective price date
419	Item List Cost - Old	R	1	9	Unit price within the appropriate price bracket for a line item before an effective date
420	Price New, Suggested Retail	N2	2	7	The consumer package price or retail unit price associated with the product applicable on or after an effective price date
421	Price Old, Suggested Retail	N2	2	7	The consumer package price or retail unit price associated with the product applicable before an effective price date
422	Promotion Condition Code	ID	2	2	Code describing a performance or advertising condition
423	Promotion Status Code	ID	2	2	Code identifying a promotion status
424	Vendor Order Number	AN	1	22	Number assigned by a vendor referencing a particular customer purchase order
426	Adjustment Reason Code	ID	2	2	Code indicating reason for debit or credit memo or adjustment to invoice, debit or credit memo, or payment
427	Unit Price Difference				
429	Check Number	AN	1	16	Check identification number
432	Date Qualifier	ID	2	2	Code specifying type of date
433	F.O.B. Point Code	ID	2	2	Code identifying type of F.O.B. point
434	F.O.B. Point	AN	1	30	Descriptive name of F.O.B. point
436	Primary Publication Authority Code	ID	2	2	Code indicating type of external reference
437	Rate Maintenance Authority Code	ID	1	1	Code indicating change authority
438	U.P.C. Case Code	AN	12	12	Code (Universal Product Code - U.P.C.) including two high order digits identifying the system (U.S. Grocery = 00, 06 or 07; U.S. Drug = 03); using the U.S. Grocery system, the next ten digits are: Manufacturer (5) Case Code (5)
439	Price List Number	AN	1	16	Identification number assigned by a vendor to a price list
440	Price List Issue Number	AN	1	16	Number assigned to revised or new issues of a price list
441	Tax Exempt Code	ID	1	1	Code identifying exemption status from sales and use tax
442	MICR Number	AN	16	16	Identification on a bank check which includes routing and account information
443	Contact Inquiry Reference	AN	1	20	Additional reference number or description to clarify a contact number
444	Purchase Order Instruction Code	ID	2	2	Code defining the disposition of any difference between the quantity ordered and the quantity available for shipment
445	Terms Exception Code	ID	2	2	Code specifying the type of terms exception
446	Terms Net Due Date	DT	8	8	Date when total invoice amount becomes due expressed in format CCYYMMDD
447	Loop Identifier Code	AN	1	6	The loop ID number given on the transaction set diagram is the value for this data element in segments LS and LE
448	Property Damage Code	ID	1	2	Code identifying the damage to property
449	Fixed Format Information	AN	1	80	Data in fixed format agreed upon by sender and receiver
451	Warehouse Lot Number	AN	1	12	Reference number assigned by the warehouse
452	Quantity Damaged/On Hold	R	1	9	Quantity of product received which cannot be shipped in its present form
455	Responsible Agency Code	ID	1	2	Code used in conjunction with Data Element 480 to identify the issuer of the standard
456	Temperature Probe Location Code	ID	2	2	Code indicating physical location of product at the time temperature was measured
458	Dunnage Description	AN	2	25	Material used to protect lading
459	Name (30 Character Format)	AN	2	30	Free-form organization name or official title as it should appear for mailing address
460	Shipment Weight Code	ID	1	1	Code indicating the way by which weights are obtained for a particular shipment
461	Transit Level Code	ID	1	3	Code indicating level of inbound transit references
462	Through Surcharge Percent	N2	2	4	Percentage of through freight charges to be charged extra as a surcharge
463	Paid-In Surcharge Percent	N2	2	4	Percentage of paid-in freight charges to be charged extra as a surcharge
464	Container Terms Code	ID	3	3	Code indicating origin and destination of transportation and type of container
465	Container Terms Code Qualifier	ID	1	1	Code indicating container terms reference
466	Total Stopoffs	N0	1	2	Total number of stopoffs specified for a shipment
467	Priority	N0	1	1	Number indicating importance
468	Port Call File Number	N0	4	4	Reference number assigned by a shipper
470	Priority Code	N0	1	1	Code indicating level of priority: 1-highest, 0-implies priority not assigned
471	Priority Code Qualifier	AN	1	1	Number indicating the number of levels of priority (1 to 9) used for data element 470, Priority Code
472	Link Sequence Number	N0	6	6	A two-part number in the form SSSTTT where SSS is a sequentially assigned number and TTT equals the highest sequential number being used within the associated (linked) group (Leading zeros are required for both SSS and TTT)
473	Order Status Code	ID	1	1	Code identifying purpose of transaction set
474	Master Reference (Link) Number	AN	1	22	Reference number assigned by the sender to relate a transaction set to a master transaction (When associating a group of purchase orders, invoices or other transaction sets, use the master reference (link) number to identify the group and the link sequence number to identify individual transaction sets within the group)
475	Credit/Debit Adjustment Number				
477	Credit/Debit Quantity	R	1	10	Number of supplier units credited or debited
478	Credit/Debit Flag Code	ID	1	1	Code indicating whether amount is a credit or debit
479	Functional Identifier Code	ID	2	2	Code identifying a group of application related transaction sets
480	Version / Release / Industry Identifier Code	AN	1	12	Code indicating the version, release, subrelease, and industry identifier of the EDI standard being used, including the GS and GE segments; if code in DE455 in GS segment is X, then in DE 480 positions 1-3 are the version number; positions 4-6 are the release and subrelease, level of the version; and positions 7-12 are the industry or trade association identifiers (optionally assigned by user); if code in DE455 in GS segment is T, then other formats are allowed
481	Trace Type Code	ID	1	2	Code identifying which transaction is being referenced
482	Payment Action Code	ID	2	2	Code specifying the accounts receivable open item(s), if any, to be included in the cash application.
483	Counseling Status Code	ID	1	1	Code identifying the status of the counseling offered
484	Evaluation Rating Code				
485	Results Code	ID	1	2	Code identifying the results of an applicant's inquiry
486	Product Transfer Movement Type Code	ID	2	2	To indicate the type of product transfer movement
487	Maintenance Operation Code	ID	1	1	Code indicating the type maintenance operation
488	Percent	N0	1	3	Percent expressed as 0 to 100
489	Loop Level Number	N0	1	1	A number used by the electronic form of the X12 standards to specify the loop level of a segment within a transaction set; it is 1 for the first loop level and is incremented by 1 for each succeeding loop within a loop level
490	Note Identification Number	N0	1	6	A number providing a reference to a segment or file which contains notes or comments related to X12 standards documentation
491	Data Element Type	ID	1	1	A code that indicates the type of data element
492	Position in Composite	N0	1	2	The relative position of the element in the composite data element definition; it is 1 for the first element in the composite data element and is incremented by 1 for each succeeding element, to the end of the composite data element
493	Tariff Number Suffix	AN	1	2	Suffix to a tariff identifying number
495	Condition Segment Logical Connector	AN	1	3	Code indicating how a specific segment's statement of a rate restriction is evaluated, and its relationship to rate restrictions stated within other segments of the same segment definition.
496	Level	N0	1	2	A code which identifies the second hierarchical level of a docket; this code provides a unique identification for a subset of rates within a docket when combined with data element 497
497	Sub Level	AN	1	3	A code identifying the third hierarchical level of a docket; this code provides a unique identification for a subset of rates within a docket when combined with data element 496
498	Condition Code	ID	4	4	Code defined in the official railway equipment register which identifies the type of restriction or provision applicable to a rate; when combined with element 499, a specific rate restriction or provision is represented
499	Condition Value	AN	1	10	Identifies rate restrictions or provisions
500	Rate Level	AN	1	5	Identifies the broad tariff change which is reflected in the rate amounts and need not be separately applied; when a rail carrier's cost recovery (RCCR) change is not applicable, then N/A will appear in this element
501	Customs Documentation Handling Code	ID	2	2	Code defining method of handling for documentation
502	Type of Locomotive Maintenance Code	AN	2	2	Value defining locomotive maintenance schedule
503	Block 20 Code	ID	1	1	Code defining Block 20 characteristics
504	Chemical Analysis Percentage	N2	2	9	Chemical analysis percentage
505	Partition Indicator	AN	1	80	Designates the partitioned area of a code value list in the data element dictionary of the X12 standards
506	(DFI) ID Number Qualifier	ID	2	2	Code identifying the type of identification number of Depository Financial Institution (DFI)
507	(DFI) Identification Number	AN	3	12	Depository Financial Institution (DFI) identification number
508	Account Number	AN	1	35	Account number assigned
509	Originating Company Identifier	AN	10	10	A unique identifier designating the company initiating the funds transfer instructions. The first character is one-digit ANSI identification code designation (ICD) followed by the nine-digit identification number which may be an IRS employer identification number (EIN), data universal numbering system (DUNS), or a user assigned number; the ICD for an EIN is 1, DUNS is 3, user assigned number is 9
510	Originating Company Supplemental Code	AN	9	9	A code defined between the originating company and the originating depository financial institution (ODFI) that uniquely identifies the company initiating the transfer instructions
511	Rail Car Plate Size Code	ID	1	1	Code identifying the plate code which specifies the dimensions of a rail freight car that is the maximum size that can be handled at the station. (See Appendix A50 for source of specific measurements)
512	Import/Export Code	ID	1	1	Code identifying the type of foreign trade shipments handling capability
514	Reporting Code	ID	1	1	Code specifying the basis used when reporting shipment information
515	Number of Transaction Sets Totaled	N0	1	7	Number of transaction sets for which the totals apply
516	Total Qualifier	ID	1	1	Code identifying the span of the total specified by data element 518, Total
517	Data Element Totaled	AN	4	5	Reference designator for the data element used in calculating the total
518	Total	R	1	11	Algebraic sum of values in all data elements totaled
519	Time Period Qualifier	ID	1	1	Code identifying the type of time period
521	Product Transfer Type Code	ID	2	2	Code identifying the type of product transfer
522	Amount Qualifier Code	ID	1	3	Code to qualify amount
529	Inventory Transaction Type Code	ID	1	2	Code defining inventory activity
531	Agent Shipment ID Number	AN	1	12	Identification number assigned to the shipment by the agent (Number does not contain blank or punctuation characters)
533	Water Movement Code	ID	1	1	Code indicating type of water movement
534	Inland Transportation Code	ID	2	2	Code identifying inland transportation operations and movements
535	Rail Retirement Activity Code	ID	1	1	Code used to identify the activity being conveyed
536	Nature of Claim Code	ID	2	2	Code indicating the nature of a loss and damage claim
537	Employment Code	ID	1	1	Code indicating the type of last employer
538	Charge/Allowance Qualifier	ID	2	2	Code indicating reason for charge or allowance
539	Vehicle Identification Number	AN	1	25	Unique identification number stamped on the vehicle by the manufacturer
540	Damage Type Code	ID	2	2	Code indicating the type of damage
541	Damage Severity Code	ID	1	1	Code indicating the severity of the damage
542	Labor Hours	N1	1	3	Labor hours
543	Labor Rate	N2	3	6	The labor/time guide rate used by the division to reimburse the dealer for repair work
544	Supporting Evidence Code	ID	1	1	Code indicating whether documents are provided to support evidence to a loss or damage claim
545	Unemployed Reason Code	ID	1	1	Code indicating reason reported by claimant for not now working
546	Status Code	ID	2	2	Code identifying the status of a claim, policy or real estate transaction
547	Interest Type Code	ID	1	2	Code identifying the type of interest
548	Decline/Amend Reason Code	ID	3	3	Code indicating the reason for declination or amendment
550	Total Labor Cost	N2	3	6	Labor cost utilized in repair of the damage. Equal to the sum of the two labor hour data elements multiplied by the appropriate labor rate
551	Total Miscellaneous Costs	N2	2	15	Sum of costs for all miscellaneous items not covered by labor and parts costs
552	Total Repair Cost	N2	3	15	Total cost of repair for the line item of damage, equal to the sum of part cost, total labor and total miscellaneous cost
553	Authorization Identification	AN	1	4	Identifier representing authorization of an unusual repair or some attendant condition
554	Assigned Number	N0	1	6	Number assigned for differentiation within a transaction set
555	Labor Operation Identifier	AN	5	6	Identifier representing the labor operation performed in repairing damage
556	Damage Area Code	ID	2	2	Code representing the location on the vehicle where the damage was repaired
557	Part Name	AN	3	16	Name of the part(s) replaced
558	Reservation Action Code	ID	1	1	Code identifying action on reservation or offering
559	Agency Qualifier Code	ID	2	2	Code identifying the agency assigning the code values
560	Special Services Code	ID	2	10	Code identifying the special service
561	Service Marks and Numbers	AN	1	45	Data used to identify the performance of the service specified by Special Services Code (560)
562	Rate or Value Type Code	ID	1	2	Code identifying method used to determine the type of rate, value, or percent details
563	Sales Requirement Code	ID	1	2	Code to identify a specific requirement or agreement of sale
566	Product/Service Substitution Code	ID	1	2	Code indicating product or service substitution conditions
567	Equipment Length	N0	4	5	Length (in feet and inches) of equipment ordered or used to transport shipment (The format is FFFII where FFF is feet and II is inches; the range for II is 00 through 11)
568	Electronic Form Note Reference Code	ID	3	3	A code identifying the functional area or purpose for which the note applies in the electronic form of the X12 standards
569	Account Number Qualifier	ID	1	3	Code indicating the type of account
570	Scale Type Code	ID	1	1	Code identifying the type of scale
571	Tare Qualifier Code	ID	1	1	Code identifying the type of tare
572	Weight Allowance Type Code	ID	1	1	Code identifying the type of weight allowance
573	Freight Station Accounting Code	ID	1	5	Code (Freight Station Accounting) (AAR Managed Code for Locations)
574	Claim Profile	AN	14	14	A series of code entries which identify the claimed status of an employee for each day in the 14-day claim cycle for unemployment or sickness benefits
575	City Name Qualifier Code	ID	1	1	Code qualifying city name
576	Abbreviated Customer Name	AN	2	12	Customer name in abbreviated form
577	Net Tons	N0	1	3	Net weight in tons
578	Equipment Status Code	ID	1	2	Code indicating status of equipment
579	Type of Consist Code	ID	1	1	Code indicating the type of consist
580	Amendment Type Code	ID	1	1	Code identifying type of manifest amendment
581	Customs Entry Type Code	ID	2	2	Code defining the type of entry assigned by U.S. Customs
582	Bill of Lading Type Code	ID	2	2	Code identifying the type of bill of lading
583	Factory Car Order Number	AN	6	10	This number to be supplied by the shipper for Canadian customer requirements at border points for all finished motor vehicles exported to the United States from Canada
584	Employment Status Code	ID	2	2	Code showing the general employment status of an employee/claimant
585	Payroll Status Code	ID	2	2	Code identifying work status according to payroll records
586	Request for Quote Reference Number	AN	1	45	Number assigned by the purchaser to identify his request for quote
587	Acknowledgment Type	ID	2	2	Code specifying the type of acknowledgment
589	Position in Set	N0	1	6	Relative position of the segment in the transaction set
590	Wages Paid Code	ID	1	1	Code identifying whether wages were paid
591	Payment Method Code	ID	3	3	Code identifying the method for the movement of payment instructions
592	Lading Description Qualifier	ID	1	1	Code identifying the type of lading description
594	Frequency Code	ID	1	1	Code indicating frequency or type of payment
595	Compartment ID Code	ID	1	1	Code identifying the compartment in a compartmentalized tank car
597	Vessel Code	ID	1	8	Code identifying vessel
598	Bill of Lading/Waybill Number	AN	1	12	Identification number assigned to the shipment by the carrier or consolidator
599	Manifest Unit Code	ID	1	3	Code defining the smallest package unit for the bill of lading
600	Place of Receipt by Pre-carrier	AN	1	17	The city or country in which the pre-carrier took possession of the cargo
601	Customs Entry Number	AN	1	15	Automated Commercial System Code Furnished by U.S. Customs Service
602	Customs Shipment Value	AN	2	8	Customs value in whole dollars
603	In-bond Control Number	AN	1	25	Currently assigned control number for in-bond movement
604	Consolidation Code	ID	1	1	Code identifying the extent of the consolidation
605	Deficiency Judgment Code	ID	1	2	Code identifying the deficiency judgment
607	Number of Days	N0	1	3	Count of Days
608	Credit File Variation Code	ID	2	2	Code identifying the variations found in the specific credit files or hit levels
609	Count	N0	1	9	Occurrence counter
610	Amount	N2	1	15	Monetary amount
611	Disposition Code	ID	2	2	Code identifying the disposition status
612	Credit Report Merge Type Code	ID	1	1	Code identifying the type of merged credit report ordered
613	Statement Number	AN	1	16	Identifying number for statement assigned by issuer for charges
614	Store Number	AN	1	10	A number assigned to uniquely identify a retail outlet or store
615	Time Period Qualifier	ID	1	2	Code defining periods
616	Number of Periods	N0	1	3	Total number of periods
617	Switch Type Code	ID	2	2	Code identifying type of switch movement desired or accomplished
619	Zone	AN	2	3	To identify zone
620	Track	AN	2	3	To identify track
621	Spot	AN	2	3	To identify spot
622	Number of Loads	N0	1	5	Number of customer-defined loads shipped by the supplier
623	Time Code	ID	2	2	Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow
624	Century	N0	2	2	The first two characters in the designation of the year (CCYY)
625	COD Method of Payment Code	ID	1	1	Code indicating method of payment acceptable for C.O.D. charge collection
626	Excess Transportation Reason Code	ID	1	2	Code identifying the reason for shipment via premium transportation rather than the normal mode of transportation
627	Excess Transportation Responsibility Code	ID	1	1	Code identifying the organization responsible for paying the premium transportation costs
628	Hierarchical ID Number	AN	1	12	A unique number assigned by the sender to identify a particular data segment in a hierarchical structure
629	Alternation Precedence Code	ID	1	1	Code identifying the priority of rate application when two or more rates apply to a given movement; if rate application includes two or more rates of the same value for this element, individual carrier rules and procedures shall govern
630	Minimum/Weight Logic	AN	1	2	Code indicating the type of minimum weight or units applicable to a specific rate; the code also describes the interpretation and/or relationship of minimum weight and car capacity percentage data elements for a specific rate
631	Number of Rates	N0	1	1	Number of RB segments that are in the given loop iteration
632	Rate Application Type Code	ID	1	1	Code indicating the method by which the rates are applied to a shipment
633	Loading Restriction	N1	1	7	A number indicating the minimum, maximum or threshold quantity of units which must be met in order to qualify rate application
634	Factor Amount	R	1	9	Number indicating the portion of freight rate revenue to be apportioned to an identified carrier
635	Rate Request/Response Code	ID	1	1	Code indicating rate request or response purpose
637	Unit Conversion Factor	N4	1	9	Identifies the weight in pounds of units specified by data element 122 Applicable to Rates
638	Rule 260 Junction Code	ID	1	5	Code indicating railroad interchange locations
639	Basis of Unit Price Code	ID	2	2	Code identifying the type of unit price for an item
640	Transaction Type Code	ID	2	2	Code specifying the type of transaction
641	Status Reason Code	ID	3	3	Code indicating the status reason
642	Week	N0	4	4	Week expressed as year/week (YYWW); week is an integer between 1 and 53 inclusive
643	Lading Percentage	N2	2	4	Commodity percentage for rating
644	Lading Percent Qualifier	ID	1	1	Code identifying type of lading percentage
645	Related Company Indication Code	ID	1	1	Code indicating parties to a transaction
646	Quantity Shipped to Date	R	1	15	Number of units shipped to date
647	Application Error Condition Code	ID	1	3	Code indicating application error condition
648	Price Multiplier Qualifier	ID	3	3	Code indicating the type of price multiplier
649	Multiplier	R	1	10	Value to be used as a multiplier to obtain a new value
650	Rating Remarks Code	ID	2	2	Code identifying the remarks related to a particular rating
653	Discount Terms Type Code	ID	3	3	Code to define the units in which the discount will be determined, i.e., dollars, case, truckload, etc.
654	Discount Base Qualifier	ID	2	2	Code to define unit of discount, i.e., dollars, cases, alternate products, etc.
655	Discount Base Value	R	1	10	A multiplier amount used in conjunction with discount base qualifier to determine the value of the discount
656	Discount Control Limit Qualifier	ID	2	3	Code to define the units of the limits for determining discount
657	Discount Control Limit	N0	1	10	Amount or time associated with application of the discount
659	Basis of Verification Code	ID	1	2	Code indicating the basis of verification
660	Contract Suffix	AN	1	2	Used to identify a type of contract
662	Relationship Code	ID	1	1	Code indicating the relationship between entities
663	Quantity Units Received or Accepted	R	1	9	Number of Units Received or Accepted
664	Quantity Units Returned	R	1	9	Number of units returned
665	Residue Indicator Code	ID	1	1	Code indicating that the material being described is that which remains in a packaging (including a tank car) after it has been unloaded
666	Division Type Code	ID	1	1	Code indicating the method by which a carriers divisional agreement is applied to a shipment
667	Quantity in Question	R	1	9	Number of units contested because of physical condition or status of units
668	Line Item Status Code	ID	2	2	Code specifying the action taken by the seller on a line item requested by the buyer
669	Currency Market/Exchange Code	ID	3	3	Code identifying the market upon which the currency exchange rate is based
670	Change or Response Type Code	ID	2	2	Code specifying the type of change to the line item
671	Quantity Left to Receive	R	1	9	Quantity left to receive as qualified by the unit of measure
672	Resource Authorization Code	ID	2	2	Code identifying the resource which the buyer is authorizing the seller to commit to
673	Quantity Qualifier	ID	2	2	Code specifying the type of quantity
674	Reciprocal Switch Code	ID	1	1	Code identifying the restriction of service being provided by the serving carrier
675	Schedule Type Qualifier	ID	2	2	Code identifying the type of dates used when defining a shipping or delivery time in a schedule or forecast
676	Schedule Quantity Qualifier	ID	1	1	Code identifying the type of quantities used when defining a schedule or forecast
677	Item Depth	R	1	6	The depth is the thickness of the product; in the dimension coordinate axes represented by X, Y and Z, depth is measured along the Z axis where X is the horizontal axis and Y is the vertical axis
678	Ship/Delivery or Calendar Pattern Code	ID	1	2	Code which specifies the routine shipments, deliveries, or calendar pattern
679	Ship/Delivery Pattern Time Code	ID	1	1	Code which specifies the time for routine shipments or deliveries
680	Forecast Qualifier	ID	1	1	Code specifying the sender's confidence level of the forecast data or an action associated with a forecast
681	Forecast Timing Qualifier	ID	1	1	Code specifying interval grouping of the forecast
682	Part Release Status Code	ID	1	2	Code identifying the status of the specific part number being released or forecast or being used in an engineering change
683	Catalog Purpose Code	ID	2	2	Code indicating purpose of catalog
684	Catalog Number	AN	1	15	Identifying number for catalog or superseded catalog
685	Catalog Version Number	AN	1	15	Identifying version number of catalog or superseded catalog
686	Catalog Revision Number	AN	1	6	Identifying revision number of catalog or superseded catalog
687	Class of Trade Code	ID	2	2	Code indicating class of trade
688	Restrictions/Conditions Qualifier	ID	2	2	Code identifying the type of restriction/condition
689	Occupancy Code	ID	2	2	Code specifying occupancy status of real estate property
690	Docket Identification	AN	1	11	A sequence number which, when combined with elements 140 and 697, provides a unique identity to a parcel of ratemaking activity
691	Revision Number	N0	1	4	A number which indicates the chronological sequence of revisions and updates to a ratemaking docket
692	Conveyance Code	ID	1	1	Code indicating rate application
693	Docket Type Code	ID	1	1	Code indicating the revenue construction of a freight rate
694	Percentage Division	N2	1	5	A number which indicates the portion of freight revenue to be apportioned to an identified carrier; the number is expressed as a percent; the value of this element shall not exceed 100.00
695	Independence Code	ID	1	1	Code indicating the capability of a carrier participating in the route of a rate to make independent changes to that rate
697	Docket Control Number	AN	1	7	A grouping identification which, when combined with elements 140 and 690, provides a unique identity to a parcel of ratemaking activity
698	Rate Distribution Code	ID	1	1	Code indicating the extent to which data intermediaries may distribute rate data (excluding revenue division information) to requesting recipients
699	Commodity/Geographic Logical Connector Code	ID	1	1	Code identifying how a specific segment's statement of a rate restriction is evaluated and its relationship to rate restrictions stated within other segments of the same segment definition
701	Information Type	ID	2	2	Code specifying the information required in the response
702	Financial Transaction Code	ID	6	6	Code identifying the financial transaction
703	Financial Information Type Code	ID	1	1	Code indicating type of financial information
704	Paperwork/Report Action Code	ID	1	2	Code specifying how the paperwork or report that is identified in the PWK segment relates to the transaction set or to identify the action that is required
705	Trade Union Code	ID	2	2	Code identifying trade union
706	Entity Relationship Code	ID	2	2	
707	Rating Category Code	ID	2	2	Code indicating supplier rating category
708	Rating Summary Value Code	ID	1	2	The total overall rating
709	Communications Environment Code	ID	2	2	To indicate EDI systems media capability
712	Category Reference Code	ID	1	1	Code specifying whose coding system is being used for category and subcategory
713	Installment Group Indicator	N0	2	2	The installment group indicator is a 2-digit serial number beginning with 01 (i.e., 01, 02, 03 or 04); it is used to group elective terms types in an installment payment situation; the same indicator must be used for all segments in the same installment
714	Goods and Services Tax Reason Code	ID	1	1	Code required to identify the reason for a 0% rated goods and services tax
715	Functional Group Acknowledge Code	ID	1	1	Code indicating accept or reject condition based on the syntax editing of the functional group
716	Functional Group Syntax Error Code	ID	1	3	Code indicating error found based on the syntax editing of the functional group header and/or trailer
717	Transaction Set Acknowledgment Code	ID	1	1	Code indicating accept or reject condition based on the syntax editing of the transaction set
718	Transaction Set Syntax Error Code	ID	1	3	Code indicating error found based on the syntax editing of a transaction set
719	Segment Position in Transaction Set	N0	1	6	The numerical count position of this data segment from the start of the transaction set: the transaction set header is count position 1
720	Segment Syntax Error Code	ID	1	3	Code indicating error found based on the syntax editing of a segment
721	Segment ID Code	ID	2	3	Code defining the segment ID of the data segment in error (See Appendix A - Number 77)
722	Element Position in Segment	N0	1	2	This is used to indicate the relative position of a simple data element, or the relative position of a composite data structure with the relative position of the component within the composite data structure, in error; in the data segment the count starts with 1 for the simple data element or composite data structure immediately following the segment ID
723	Data Element Syntax Error Code	ID	1	3	Code indicating the error found after syntax edits of a data element
724	Copy of Bad Data Element	AN	1	99	This is a copy of the data element in error
725	Data Element Reference Number	N0	1	4	Reference number used to locate the data element in the Data Element Dictionary
726	Real Estate Property Condition Code	ID	2	2	Code identifying property condition
728	Returnable Container Load Make-Up Code	ID	1	2	Code identifying the load make-up of the returnable containers in the shipment
729	Category	AN	1	6	An alphanumeric identifier to represent the category to which the item belongs
730	Subcategory	AN	1	6	An alphanumeric identifier to represent the subcategory to which the item belongs
731	Transit Direction Code	ID	2	2	The point of origin and point of direction
732	Transit Time Direction Qualifier	ID	2	2	Code specifying the value of time used to measure the transit time
733	Transit Time	R	1	4	The numeric amount of transit time
734	Hierarchical Parent ID Number	AN	1	12	Identification number of the next higher hierarchical data segment that the data segment being described is subordinate to
735	Hierarchical Level Code	ID	1	2	Code defining the characteristic of a level in a hierarchical structure
736	Hierarchical Child Code	ID	1	1	Code indicating if there are hierarchical child data segments subordinate to the level being described
737	Measurement Reference ID Code	ID	2	2	Code identifying the broad category to which a measurement applies
738	Measurement Qualifier	ID	1	3	Code identifying a specific product or process characteristic to which a measurement applies
739	Measurement Value	R	1	20	The value of the measurement
740	Range Minimum	R	1	20	The value specifying the minimum of the measurement range
741	Range Maximum	R	1	20	The value specifying the maximum of the measurement range
742	Route Description	AN	1	35	Point to point routing description
743	Returnable Container Freight Payment Responsibility Code	ID	1	2	Code specifying the responsibility for the return freight costs incurred when returnable containers are shipped in a premium transportation
744	Print Option Code	ID	2	2	Code identifying the selected information to be printed on a document
745	Pre-Cooled (Rule 710) Code	ID	1	1	Code indicating whether or not the shipment was precooled per Association of American Railroads Protective Service Rule 710
746	Protective Service Rule Code	ID	3	9	Association of American Railroads (AAR) Protective Service that applies to shipment
747	Rebill Reason Code	ID	2	2	Code identifying reason for rebill
748	Movement Authority Code	ID	1	2	Code indicating the interchange authority
749	Supplementary Information Qualifier				
750	Product/Process Characteristic Code	ID	2	3	Code identifying the general class of a product or process characteristic
751	Product Description Code	AN	1	12	A code from an industry code list which provides specific data about a product characteristic
752	Surface/Layer/Position Code	ID	2	2	Code indicating the product surface, layer or position that is being described
753	Packaging Characteristic Code	ID	1	5	Code specifying the marking, packaging, loading and related characteristics being described
754	Packaging Description Code	AN	1	7	A code from an industry code list which provides specific data about the marking, packaging or loading and unloading of a product
755	Report Type Code	ID	2	2	Code indicating the title or contents of a document, report or supporting item
756	Report Transmission Code	ID	1	2	Code defining timing, transmission method or format by which reports are to be sent
757	Report Copies Needed	N0	1	2	The number of copies of a report that should be sent to the addressee
758	Hazardous Mnemonic Code	ID	2	3	Code identifying hazardous classification placard notation, and proper endorsements as required by the Federal Highway Railway Administration See Figures Appendix for the possible values to be used for data element 758 See Figures Appendix for the possible values to be used for data element 758
759	Reportable Quantity Code	ID	2	2	Code to identify presence of hazardous substance
760	Limited Quantity Indication Code	ID	1	1	Code to indicate hazardous material that is packaged in limited quantities and is excluded from placarding requirements
761	Equipment Number Check Digit	N0	1	1	Number which designates the check digit applied to a piece of equipment
762	Waybill Response Code	ID	1	1	Code indicating a waybill response
765	Day of Month	N0	1	2	The numeric value of the day of the month between 1 and the maximum day of the month being referenced
766	U.P.C./EAN Consumer Package Code	AN	12	12	Code (Universal Product Code - U.P.C.) identifying the retail shelf unit; consists of 2 high order digits identifying the system (U.S. Grocery = 00, 06 or 07, U.S. Drug = 03); the next ten digits are manufacturer ID: 5, Item ID: 5
767	Market Area Code Identifier	AN	1	12	A unique identification of a market area
768	Quantity Must Purchase	N0	1	9	A specific quantity that must be purchased to qualify for the merchandise indicated in data element Quantity Free
769	Exception Number	AN	1	16	A unique number identifying an exception or modification to an offered or existing promotion
770	Option Number	AN	1	20	A unique number identifying available promotion or allowance options when more than one is offered
771	Market Area Code Qualifier	ID	1	3	Code qualifying the identifier represented in Market Area Code Identifier (767)
772	Interchange Agreement Status Code	ID	1	1	Code identifying status of carrier interchange agreement
773	Quantity Free	N0	1	9	A specific quantity that is offered at no cost when requirements of data element Quantity Must Purchase (768) are fulfilled
781	Statement Format Code	ID	6	6	Code supplied by the sender indicating the level of detail being communicated
782	Monetary Amount	R	1	18	Monetary amount
783	Planning Schedule Type Code	ID	2	2	Code identifying type of planning schedule used
784	Length of Binary Data	N0	1	15	The length in integral octets of the binary data
785	Binary Data	B	1	10000000000000000	A string of octets which can assume any binary pattern from hexadecimal 00 to FF
786	Security Level Code	ID	2	2	Code indicating the level of confidentiality assigned by the sender to the information following
787	Record Length	N	1	15	Quantity of characters or bytes in a record. Synonyms are logical record length and record size
788	Block Length	N	1	5	Quantity of data elements in a block, usually specified in units such as records, words or characters; synonym for 'block size' 
789	Drawing Sheet Size Code	AN	2	2	Code indicating the drawing size and orientation of a technical drawing as specified and described in the current version of standards ANSI Y14.1 and ISO 5457 (E); see the listed ANSI and ISO standards for the maximum lengths for rolled sheets *
790	Entity Title	AN	1	132	Title of the data entity
791	Entity Purpose	AN	1	80	The reason for the existence of the data item specified by the electronic data item independent of its presence in an EDI transaction
792	Entity Status Code	ID	1	1	Code indicating the current status of the data item specified by the electronic data item
795	Revision Level Code	ID	1	1	Code indicating the revision or engineering change level of the data items referred to by the specification number
796	Revision Value	AN	1	30	Revision or engineering change level of the data items referred to by the specification number
797	Security Technique Code	ID	2	2	Code indicating that this element will be used to tell an EDI translator program which security technique to use
799	Version Identifier	AN	1	30	Revision level of a particular format, program, technique or algorithm
800	Compression Technique	AN	1	30	Identifies the digital data compression means and the type
